Test Lead,Initiative,Bug id,Bug Title,PDD,Severity,Node Name,Created Date,UAT category,Analysis Comments (select from drop down),Detailed PT comments
Pirtheebaa,PLD,4425530,28 Mar | UAT 2 | PLD | Opportunity Workflow | Getting blank pages for all 10 guided workflow tiles,3/28/2026 0:00,High,TechWarriors,3/13/2026,Broken functionality,,
Pirtheebaa,PLD,4436895,March 28th| PLD | UAT 2 | No mail is received after the cancelation of SA assignments.,3/28/2026 0:00,High,Pacemakers,3/19/2026,Broken functionality,,
Himanshu,PLD,4440662,"Mar28 | UAT2 | Regression | PLD | For Market Maker ESA cancelation mail of Multi Tower deal containing BPMS, if Market Maker ESA is assigned for all SGs, in mail it will only reflect for BPMS",3/28/2026 0:00,Medium,Pacemakers,3/24/2026,Bug leakage,,
Kavi,Pricing,4427098,28th March | UAT2 | SI OCP | [Deal Specific] Getting error while downloading resource level report,3/28/2026 0:00,Medium,Insurgents,3/16/2026,Broken functionality,Cannot Reproduce,Not rpero
Kavi,SI DCTA,4429449,28th March | UAT2 | SI | Not able to save Tax input screen,3/28/2026 0:00,Medium,DevStormers,3/16/2026,Broken functionality,Broken Functionality - This bug was working fine during PT testing,Broken bug
Kavi,SI DCTA,4429559,28th March | UAT2 | SI DCTA| In Expense tab under % of price spacing issue when selected Deal wise(Target/margin) Pricing method,3/28/2026 0:00,Low,DevStormers,3/16/2026,Bug leakage,Deal Specific issue,Deal specific
Hajara,SSA,4424590,Regression: UAT___AI_Foundry___SSA____Not getting correct URL for created version in Agent response,3/28/2026 0:00,High,agentcrafters,3/13/2026,Broken functionality,,
Nandini,Value Shaping,4426651,28 March || UAT2|| Value Shaping | V2V Configurator user able to update data in Mobilization Calculator,3/28/2026 0:00,Medium,Everest,3/16/2026,Bug leakage,PT miss - negative/boundary/rare case scenario,
Jaya,Value Shaping,4426827,"28 March || UAT2|| Value Shaping | V2V Configurator user able to Reset MOTE and able to generate ADL, RP/OCP",3/28/2026 0:00,Medium,TechCoders,3/16/2026,Bug leakage,,
Nandini,Value Shaping,4435338,"28 March || UAT2|| Value Shaping | SVP summary | In Downloaded PDF Under Benchmark and size of prize View, User able to view SOP column data eventhough in UI we dont have",3/28/2026 0:00,Medium,Spartans,3/18/2026,Bug leakage,Deal Specific issue,
Nandini,Value Shaping,4437291,28 March || UAT2 || Value Shaping | In SOP Input values linked in configurator link is not  populating when KPI as benchmark values from back end,3/28/2026 0:00,Medium,Spartans,3/20/2026,Bug leakage,Environment Related - same bug is working fine in PT env,
Jaya,Value Shaping,4437884,28 March || UAT2 || | In AMS Solution Components - OCP/DCTA section and KDA reports in read-only mode instead it is displaying as Disabled,3/28/2026 0:00,Medium,CreativeCoders,3/20/2026,Bug leakage,,
Nandini,Value Shaping,4437894,28 March || UAT2 ||Value Shaping|In Configurator link Link to should be disabled when user attempt to tag the same SOP input again in another KPI,3/28/2026 0:00,Low,Spartans,3/20/2026,Bug leakage,Existing prod issue,
Nandini,Value Shaping,4442511,"March 28th|UAT2| Value Shaping | Configurator| When user copying value tree, Link to is not getting copied in target value tree",3/28/2026 0:00,Medium,Spartans,3/25/2026,Broken functionality,,
Nandini,Value Shaping,4442610,March 28th|UAT2| Value Shaping | SVP| Size of Prize Inputs are not displaying as expected,3/28/2026 0:00,Medium,Spartans,3/25/2026,Broken functionality,,
Pirtheebaa,Value Shaping,4443808,"March 28th|UAT2| Value Shaping | When user click on Opportunities breadcrumb from Opportunity workflow with V2V Configurator role, not able to see deals",3/28/2026 0:00,High,NGTransformers,3/26/2026,Broken functionality,,
Nandini,Value Shaping,4444999,March 28th|UAT2| Value Shaping | SVP| Getting different Size of Prize Inputs in summary screen when compared to SOP inputs in Tag KPI & Add details,3/28/2026 0:00,Medium,Spartans,3/26/2026,Both,,
Nandini,Value Shaping,4446913,"March 28 || Prod sanity || Value Shaping || Under 360 diagnostics ,initiative Assessment should be disabled for  configurator v2v role instead it is enabled and able to initiative",3/28/2026 0:00,Medium,Spartans,3/28/2026,Bug leakage,,
